PlayerName,Position,BodyFatPercentage,HandLength_Inches,HandWidth_Inches,HeightWithoutShoes_Inches,HeightWithShoes_Inches,StandingReach_Inches,Weight_lbs,Wingspan_Inches,ID,Rank,PickNumber,Team,College,PlayedOverseas,YearsPlayed,GamesPlayed,TotalMinutesPlayed,TotalPoints,TotalRebounds,TotalAssists,FieldGoalPercentage,ThreePointPercentage,FreeThrowPercentage,WinShares,WinSharesPer48Minutes,BoxPlusMinus,ValueOverReplacementPlayer,DraftYear,MinutesPerGame,PointsPerGame,ReboundsPerGame,AssistsPerGame
jordan adams,SG,0.11,8.5,7.5,75.5,76.75,102.0,208.8,82.0,1410,22,22,MEM,UCLA,DOMESTIC,2.0,32,33406,101,30,19,0.402,0.385,0.607,0.4,0.07,1.7,0.2,2014,8.2,3.2,0.9,0.6
kyle anderson,SF,0.13,8.25,8.75,79.5,80.5,107.5,230.1,86.75,1418,30,30,SAS,UCLA,DOMESTIC,8.0,483,33406,3202,2098,1109,0.476,0.335,0.714,25.7,0.122,1.7,9.5,2014,21.0,6.6,4.3,2.3
thanasis antetokounmpo,SF,0.06,9.0,9.75,77.25,78.25,104.5,205.2,84.0,1439,51,51,NYK,FOREIGN,FOREIGN,4.0,116,33406,325,227,80,0.491,0.157,0.522,1.3,0.062,-3.7,-0.5,2014,9.0,2.8,2.0,0.7
cameron bairstow,PF,0.09,8.75,9.0,80.75,81.75,107.0,252.4,84.75,1437,49,49,CHI,New Mexico,DOMESTIC,2.0,36,33406,44,36,7,0.296,0.2,0.846,-0.1,-0.021,-8.1,-0.3,2014,4.6,1.2,1.0,0.2
alec brown,PF,0.08,9.25,8.75,84.25,85.25,109.0,231.2,85.5,1438,50,50,PHO,Green Bay,DOMESTIC,3.57,161,33406,1490,577,306,0.43,0.31,0.73,6.0,0.05,-2.73,0.96,2014,16.23,6.5,2.75,1.36
markel brown,SG,0.04,8.25,9.75,74.5,75.5,100.0,184.4,80.75,1432,44,44,MIN,Oklahoma State,DOMESTIC,3.0,113,33406,584,234,132,0.38,0.295,0.781,1.1,0.029,-2.9,-0.4,2014,15.9,5.2,2.1,1.2
semaj christon,PG,0.05,8.5,8.25,73.5,75.25,99.0,186.0,78.5,1443,55,55,MIA,Xavier,DOMESTIC,1.0,64,33406,183,87,130,0.345,0.19,0.548,0.1,0.006,-5.1,-0.8,2014,15.2,2.9,1.4,2.0
jordan clarkson,PG,0.04,8.25,9.0,75.25,77.0,98.0,186.3,80.0,1434,46,46,WAS,Missouri,DOMESTIC,8.0,576,33406,8801,1882,1463,0.439,0.34,0.828,20.3,0.063,-0.5,5.9,2014,26.9,15.3,3.3,2.5
deandre daniels,SF,0.04,9.25,10.5,79.25,80.5,106.5,196.0,86.0,1425,37,37,TOR,UConn,DOMESTIC,3.57,161,33406,1490,577,306,0.43,0.31,0.73,6.0,0.05,-2.73,0.96,2014,16.23,6.5,2.75,1.36
spencer dinwiddie,PG,0.05,8.25,9.0,76.5,78.0,103.0,204.9,80.25,1426,38,38,DET,Colorado,DOMESTIC,8.0,366,33406,4691,1101,1849,0.406,0.317,0.793,20.4,0.102,0.1,5.2,2014,26.3,12.8,3.0,5.1
